id,x-ini,y-ini,x-goal,y-goal,x-end,y-end,L0-path,L1-path,td,tsh,zt,C
(adult 1383),151,-130,152,-31,152,-31,138,138,40,50.1,-99,0
(adult 2304),22,-192,135,-31,135,-31,202,202,35,50.2,-99,0
(adult 2597),92,-34,135,-31,135,-31,43,43,47,50.2,-99,0
(adult 1444),212,-81,152,-31,152,-31,93,93,43,50.3,-99,0
(adult 788),115,-125,135,-31,135,-31,98,98,43,50.3,-99,0
(adult 819),44,-148,135,-31,135,-31,164,164,38,50.3,-99,0
(adult 7),141,-47,135,-31,135,-31,15,15,49,50.3,-99,0
(adult 372),157,-113,152,-31,152,-31,113,113,42,50.3,-99,0
(adult 1550),181,-83,152,-31,152,-31,55,55,46,50.4,-99,0
(adult 383),170,-72,152,-31,152,-31,44,44,47,50.5,-99,0
(adult 233),107,-84,135,-31,135,-31,75,75,45,50.5,-99,0
(adult 998),106,-127,135,-31,135,-31,98,98,43,50.5,-99,0
(adult 86),128,-94,135,-31,135,-31,74,74,45,50.5,-99,0
(adult 929),159,-28,152,-31,152,-31,5,5,50,50.6,-99,0
(adult 718),226,-102,152,-31,152,-31,112,112,42,50.6,-99,0
(car 2764),217,-74,16,-2,16,-2,230,230,48,50.6,-99,0
(adult 1509),47,-47,135,-31,135,-31,97,97,43,50.6,-99,0
(adult 2470),147,-134,152,-31,152,-31,145,145,40,50.7,-99,0
(adult 1695),164,-53,152,-31,152,-31,35,35,48,50.7,-99,0
(adult 2548),158,-96,152,-31,152,-31,103,103,43,50.8,-99,0
(adult 2449),184,-59,152,-31,152,-31,63,63,46,50.8,-99,0
(adult 2142),143,-119,135,-31,135,-31,107,107,43,50.9,-99,0
(adult 1759),121,-198,135,-31,135,-31,204,204,36,51,-99,0
(adult 2204),110,-44,135,-31,135,-31,40,40,48,51,-99,0
(adult 2157),92,-54,135,-31,135,-31,52,52,47,51.1,-99,0
(adult 2629),102,-82,135,-31,135,-31,70,70,46,51.1,-99,0
(adult 2102),86,-73,135,-31,135,-31,67,67,46,51.1,-99,0
(adult 2121),67,-117,135,-31,135,-31,110,110,43,51.1,-99,0
(adult 2021),217,-57,152,-31,152,-31,117,117,42,51.2,-99,0
(adult 1690),184,-146,152,-31,152,-31,143,143,40,51.2,-99,0
(adult 963),46,-152,135,-31,135,-31,166,166,39,51.2,-99,0
(adult 286),32,-217,135,-31,135,-31,193,193,36,51.3,-99,0
(adult 238),193,-87,152,-31,152,-31,66,66,46,51.3,-99,0
(adult 123),144,-112,152,-31,152,-31,110,110,43,51.3,-99,0
(adult 2095),170,-70,152,-31,152,-31,42,42,48,51.3,-99,0
(adult 2260),115,-66,135,-31,135,-31,46,46,48,51.3,-99,0
(adult 976),141,-21,135,-31,135,-31,77,77,46,51.3,-99,0
(adult 451),127,-185,135,-31,135,-31,167,167,39,51.4,-99,0
(adult 2112),11,-211,135,-31,135,-31,221,221,35,51.4,-99,0
(adult 273),58,-155,135,-31,135,-31,154,154,40,51.4,-99,0
(adult 2259),235,-61,152,-31,152,-31,121,121,42,51.5,-99,0
(adult 918),75,-89,135,-31,135,-31,84,84,45,51.5,-99,0
(adult 2694),223,-97,152,-31,152,-31,107,107,43,51.5,-99,0
(adult 88),91,-210,135,-31,135,-31,182,182,38,51.6,-99,0
(adult 2662),207,-84,152,-31,152,-31,83,83,45,51.6,-99,0
(adult 396),145,-125,152,-31,152,-31,144,144,41,51.6,-99,0
(adult 1737),214,-68,152,-31,152,-31,95,95,44,51.7,-99,0
(adult 220),228,-90,152,-31,152,-31,113,113,43,51.7,-99,0
